FILENAME	HWXX-6516DS1-VTM_Port 1 +45_02DT_1785
MAKE	COMMSCOPE
FREQUENCY	1785
H_WIDTH	66
V_WIDTH	6.7
FRONT_TO_BACK	27
GAIN	14.596 dBd
TILT	ELECTRICAL
HORIZONTAL 360
0.00	0.04
1.00	0.08
2.00	0.12
3.00	0.16
4.00	0.22
5.00	0.28
6.00	0.34
7.00	0.41
8.00	0.49
9.00	0.57
10.00	0.65
11.00	0.74
12.00	0.83
13.00	0.93
14.00	1.02
15.00	1.12
16.00	1.21
17.00	1.31
18.00	1.42
19.00	1.51
20.00	1.62
21.00	1.72
22.00	1.82
23.00	1.92
24.00	2.03
25.00	2.13
26.00	2.24
27.00	2.34
28.00	2.45
29.00	2.55
30.00	2.66
31.00	2.77
32.00	2.88
33.00	3.00
34.00	3.11
35.00	3.23
36.00	3.35
37.00	3.48
38.00	3.61
39.00	3.74
40.00	3.88
41.00	4.02
42.00	4.17
43.00	4.32
44.00	4.48
45.00	4.64
46.00	4.82
47.00	4.99
48.00	5.18
49.00	5.37
50.00	5.57
51.00	5.78
52.00	5.99
53.00	6.20
54.00	6.42
55.00	6.65
56.00	6.88
57.00	7.11
58.00	7.34
59.00	7.57
60.00	7.81
61.00	8.04
62.00	8.27
63.00	8.49
64.00	8.72
65.00	8.94
66.00	9.15
67.00	9.36
68.00	9.57
69.00	9.77
70.00	9.97
71.00	10.16
72.00	10.36
73.00	10.55
74.00	10.74
75.00	10.94
76.00	11.14
77.00	11.34
78.00	11.54
79.00	11.75
80.00	11.95
81.00	12.17
82.00	12.38
83.00	12.60
84.00	12.82
85.00	13.03
86.00	13.25
87.00	13.47
88.00	13.68
89.00	13.89
90.00	14.10
91.00	14.31
92.00	14.51
93.00	14.72
94.00	14.93
95.00	15.14
96.00	15.36
97.00	15.59
98.00	15.84
99.00	16.09
100.00	16.36
101.00	16.66
102.00	16.97
103.00	17.30
104.00	17.66
105.00	18.04
106.00	18.45
107.00	18.87
108.00	19.30
109.00	19.74
110.00	20.19
111.00	20.62
112.00	21.03
113.00	21.40
114.00	21.73
115.00	22.01
116.00	22.23
117.00	22.39
118.00	22.51
119.00	22.58
120.00	22.63
121.00	22.66
122.00	22.70
123.00	22.75
124.00	22.83
125.00	22.94
126.00	23.10
127.00	23.31
128.00	23.57
129.00	23.89
130.00	24.27
131.00	24.71
132.00	25.21
133.00	25.78
134.00	26.39
135.00	27.05
136.00	27.73
137.00	28.39
138.00	29.01
139.00	29.54
140.00	29.93
141.00	30.16
142.00	30.23
143.00	30.16
144.00	30.00
145.00	29.81
146.00	29.62
147.00	29.47
148.00	29.38
149.00	29.37
150.00	29.46
151.00	29.65
152.00	29.96
153.00	30.39
154.00	30.97
155.00	31.71
156.00	32.65
157.00	33.84
158.00	35.33
159.00	37.27
160.00	39.88
161.00	43.74
162.00	50.92
163.00	60.69
164.00	47.15
165.00	42.18
166.00	39.19
167.00	37.13
168.00	35.61
169.00	34.47
170.00	33.61
171.00	32.98
172.00	32.54
173.00	32.26
174.00	32.14
175.00	32.17
176.00	32.34
177.00	32.66
178.00	33.13
179.00	33.77
180.00	34.59
181.00	35.63
182.00	36.94
183.00	38.59
184.00	40.69
185.00	43.38
186.00	46.57
187.00	48.47
188.00	46.52
189.00	43.47
190.00	40.97
191.00	39.04
192.00	37.55
193.00	36.38
194.00	35.48
195.00	34.78
196.00	34.26
197.00	33.89
198.00	33.66
199.00	33.56
200.00	33.56
201.00	33.68
202.00	33.91
203.00	34.23
204.00	34.64
205.00	35.12
206.00	35.65
207.00	36.18
208.00	36.66
209.00	37.00
210.00	37.12
211.00	36.97
212.00	36.57
213.00	35.97
214.00	35.27
215.00	34.53
216.00	33.81
217.00	33.13
218.00	32.52
219.00	31.97
220.00	31.50
221.00	31.11
222.00	30.78
223.00	30.53
224.00	30.34
225.00	30.20
226.00	30.12
227.00	30.09
228.00	30.10
229.00	30.13
230.00	30.17
231.00	30.21
232.00	30.22
233.00	30.19
234.00	30.09
235.00	29.92
236.00	29.66
237.00	29.33
238.00	28.93
239.00	28.48
240.00	27.99
241.00	27.49
242.00	26.98
243.00	26.48
244.00	26.00
245.00	25.54
246.00	25.10
247.00	24.69
248.00	24.30
249.00	23.93
250.00	23.57
251.00	23.22
252.00	22.88
253.00	22.54
254.00	22.20
255.00	21.85
256.00	21.49
257.00	21.12
258.00	20.73
259.00	20.34
260.00	19.94
261.00	19.53
262.00	19.11
263.00	18.70
264.00	18.29
265.00	17.89
266.00	17.49
267.00	17.11
268.00	16.73
269.00	16.37
270.00	16.02
271.00	15.69
272.00	15.36
273.00	15.05
274.00	14.74
275.00	14.44
276.00	14.15
277.00	13.85
278.00	13.56
279.00	13.27
280.00	12.97
281.00	12.67
282.00	12.36
283.00	12.05
284.00	11.74
285.00	11.42
286.00	11.10
287.00	10.78
288.00	10.45
289.00	10.14
290.00	9.82
291.00	9.51
292.00	9.20
293.00	8.91
294.00	8.62
295.00	8.34
296.00	8.08
297.00	7.82
298.00	7.57
299.00	7.34
300.00	7.11
301.00	6.89
302.00	6.69
303.00	6.48
304.00	6.29
305.00	6.10
306.00	5.92
307.00	5.75
308.00	5.58
309.00	5.41
310.00	5.24
311.00	5.08
312.00	4.91
313.00	4.76
314.00	4.60
315.00	4.44
316.00	4.29
317.00	4.14
318.00	3.98
319.00	3.84
320.00	3.69
321.00	3.55
322.00	3.41
323.00	3.27
324.00	3.13
325.00	3.00
326.00	2.87
327.00	2.74
328.00	2.61
329.00	2.49
330.00	2.36
331.00	2.24
332.00	2.11
333.00	1.99
334.00	1.87
335.00	1.75
336.00	1.63
337.00	1.50
338.00	1.39
339.00	1.27
340.00	1.15
341.00	1.03
342.00	0.92
343.00	0.81
344.00	0.71
345.00	0.61
346.00	0.52
347.00	0.43
348.00	0.35
349.00	0.28
350.00	0.21
351.00	0.15
352.00	0.11
353.00	0.07
354.00	0.04
355.00	0.01
356.00	0.00
357.00	0.00
358.00	0.01
359.00	0.02
VERTICAL 360
0.00	0.68
1.00	0.08
2.00	0.00
3.00	0.44
4.00	1.44
5.00	3.08
6.00	5.53
7.00	9.14
8.00	14.47
9.00	19.39
10.00	16.35
11.00	13.59
12.00	12.72
13.00	13.31
14.00	15.35
15.00	19.29
16.00	25.56
17.00	24.29
18.00	19.52
19.00	17.23
20.00	16.55
21.00	17.09
22.00	18.81
23.00	21.98
24.00	27.60
25.00	35.40
26.00	29.65
27.00	25.69
28.00	24.17
29.00	23.95
30.00	24.45
31.00	25.05
32.00	25.12
33.00	24.63
34.00	24.04
35.00	23.80
36.00	24.05
37.00	24.79
38.00	25.80
39.00	26.67
40.00	26.92
41.00	26.57
42.00	26.08
43.00	25.73
44.00	25.50
45.00	25.08
46.00	24.12
47.00	22.64
48.00	20.96
49.00	19.38
50.00	18.04
51.00	16.97
52.00	16.17
53.00	15.61
54.00	15.27
55.00	15.12
56.00	15.13
57.00	15.30
58.00	15.60
59.00	16.03
60.00	16.57
61.00	17.23
62.00	18.00
63.00	18.86
64.00	19.81
65.00	20.84
66.00	21.91
67.00	23.02
68.00	24.10
69.00	25.12
70.00	26.03
71.00	26.83
72.00	27.54
73.00	28.22
74.00	28.92
75.00	29.71
76.00	30.66
77.00	31.80
78.00	33.18
79.00	34.76
80.00	36.51
81.00	38.29
82.00	39.87
83.00	40.86
84.00	41.08
85.00	40.79
86.00	40.40
87.00	40.03
88.00	39.44
89.00	38.36
90.00	37.01
91.00	35.79
92.00	34.99
93.00	34.74
94.00	35.06
95.00	35.91
96.00	37.22
97.00	38.82
98.00	40.43
99.00	41.49
100.00	41.32
101.00	40.04
102.00	38.50
103.00	37.26
104.00	36.53
105.00	36.32
106.00	36.53
107.00	37.03
108.00	37.63
109.00	38.12
110.00	38.34
111.00	38.29
112.00	38.11
113.00	38.01
114.00	38.17
115.00	38.69
116.00	39.59
117.00	40.85
118.00	42.40
119.00	44.24
120.00	46.45
121.00	48.61
122.00	49.01
123.00	47.38
124.00	45.88
125.00	45.42
126.00	46.09
127.00	47.56
128.00	48.38
129.00	46.99
130.00	44.77
131.00	42.96
132.00	41.71
133.00	40.89
134.00	40.43
135.00	40.33
136.00	40.61
137.00	41.21
138.00	41.99
139.00	42.71
140.00	43.22
141.00	43.50
142.00	43.44
143.00	42.81
144.00	41.66
145.00	40.44
146.00	39.53
147.00	39.14
148.00	39.23
149.00	39.61
150.00	39.87
151.00	39.63
152.00	38.96
153.00	38.34
154.00	38.13
155.00	38.52
156.00	39.58
157.00	41.23
158.00	43.27
159.00	45.27
160.00	47.15
161.00	49.63
162.00	52.48
163.00	49.88
164.00	45.13
165.00	42.04
166.00	40.46
167.00	40.25
